participant_id,environment,p_type,mean,median,q5,q25,q75,q95,sd
57301,indoor,blue_bc1,31.529453659529338,26.886047979797986,166.37605170101207,5.141490633718615,37.39703459637562,27.976745196695287,45.39680433005595
57301,indoor,green_bc1,42.09643486816685,43.12810037934053,41.16564417177915,38.09949892627057,42.52862861930919,31.12037111386281,44.621382905454055
57301,indoor,ir_bc1,44.151700188936715,44.86486486486486,143.24786324786325,53.34722584006252,47.02558249589401,26.468520786191714,35.070941113740865
57301,indoor,red_bc1,43.30730580173366,45.645390070921984,29.178743961352666,40.908073630616016,44.83177245924383,31.559601089427243,43.7761503707304
57301,indoor,uv_bc1,31.794182041673235,23.135176069670585,25.37248974303605,2.4558758871930095,41.3593443791199,27.54309080067013,30.619077992563973
57301,outdoor,uv_bc1,27.11574924645051,20.262123197903016,11.359854787475406,24.88281249999999,26.30697451848308,30.899225832065177,31.424985320467247
57301,ratio,uv_bc1,14.452229724598766,16.492328974265206,149.0045150769678,26.891390053685388,12.47398109692937,18.080744002386524,69.34380986192419
57311,indoor,blue_bc1,38.79216526131804,56.18716163959784,98.5038503850385,51.73858399664851,44.08012229794407,11.887258462879583,5.947623022786711
57311,indoor,green_bc1,40.76435576494059,56.34357762017336,142.59655377302437,54.34288312869486,46.92055154300722,12.02787667600941,7.3558089173129435
57311,indoor,ir_bc1,38.08471577129823,54.916577919772806,945.4545454545455,60.51123843102688,36.65246500304322,14.227143170357397,7.694150438737536
57311,indoor,red_bc1,39.054609601397324,53.26086956521739,177.39492938574102,49.725400457665906,43.88952999672324,15.125442845781219,10.337800607466312
57311,indoor,uv_bc1,41.92021406120101,62.256748273697426,81.53415637860083,65.47291092745638,47.405720070868135,5.557322538672875,-5.159522885001669
57331,indoor,blue_bc1,43.64231586009067,50.4265306122449,98.9297253634895,62.13576158940396,43.219665561083474,27.308511065590174,28.75962698721407
57331,indoor,green_bc1,44.3106758597742,49.616270145817346,102.47962747380676,61.18834080717489,43.024010382868276,26.54685601776195,30.782065657240587
57331,indoor,ir_bc1,44.94816372984968,46.46673560841089,-165.61583577712622,59.273648648648646,43.622616699539776,37.06611931173032,39.79338873299875
57331,indoor,red_bc1,45.62852176242193,49.47969543147209,118.96382225717656,63.98067331670823,44.84020618556702,29.46038140740156,33.68457092443628
57331,indoor,uv_bc1,40.99423155224012,33.972602739726035,91.19698344295757,50.42122538293217,42.328684050939955,29.387923593650218,33.33262461695314
57341,indoor,blue_bc1,14.125034716960446,-27.226890756302517,-771.4905933429811,-66.48275862068965,27.88232491662697,43.90301681961909,26.67130288915929
57341,indoor,green_bc1,10.516363782280823,-30.19538188277087,-815.4704944178627,-51.3337670787248,22.370126045470617,36.61915484586281,27.668177884739393
57341,indoor,ir_bc1,15.640354191554213,-9.369951534733444,128.06257521058964,-46.60574412532638,13.614130434782613,31.393184421534915,32.37160571473868
57341,indoor,red_bc1,12.123567566887887,-31.380753138075313,-10331.372549019576,-45.46591619762351,21.76414189837009,39.345991561181414,29.4834331923254
57341,indoor,uv_bc1,25.044525178189062,-20.732319010198953,968.4615384615386,-77.48945831981837,38.95690088881436,51.85419125346985,41.48426196847161
all,indoor,blue_bc1,32.18075910350785,34.440842787682335,28.775356874530416,24.35480373021037,34.375845462907854,28.16550052219469,31.360546065727963
all,indoor,green_bc1,35.56618684734123,38.67832847424684,71.26140079160213,33.94768133174792,35.90746350867529,26.219956506576448,31.7472447343519
all,indoor,ir_bc1,37.21870871616444,37.58683729433273,-226.2553802008608,43.08300395256917,37.338451498193734,28.19702679387039,32.90061050907575
all,indoor,red_bc1,36.48147357983117,37.61239716854793,91.37749737118821,35.465790490916135,37.89753119192993,28.240313393520488,33.378843996875105
all,indoor,uv_bc1,34.4174466714705,31.062992125984255,42.84848484848483,25.236593059936908,36.156121984524354,32.39663900540938,32.36992742254602
all,outdoor,uv_bc1,27.167180663185007,9.618959107806694,-346.9846491228068,1.5685113939035085,21.539059799516068,48.98699380176089,41.73155941042521
all,ratio,uv_bc1,63.997492430260245,19.69849298778798,86.72898380287631,20.081296824561154,16.727114713221027,26.638968367468216,97.14184643049701
