participant_id,environment,p_type,mean,median,q5,q25,q75,q95,sd
41181,indoor,pm1,73.43128777641415,84.0255591054313,90.28213166144202,82.20264317180617,84.73346357800726,65.85635509936668,19.146337347666716
41181,indoor,pm10,24.699141708214835,78.08810826374892,77.30582524271846,77.64578833693305,56.26414484319431,-23.892632104310824,-1.8321825977852193
41181,indoor,pm1num,29.4471880657418,63.129290617848966,35.04122497055359,49.04761904761905,64.30103333983233,19.08778037897434,-168.10017214615698
41181,indoor,pm25,62.964183665616225,80.8728652751423,78.84987558750345,75.65740045078887,81.17312072892938,51.14597544338338,4.246186842522914
41181,outdoor,pm1,54.50573291600677,34.021113243761995,20.240480961923843,3.779665983006166,54.32501748659361,70.00493641189013,79.69214814025786
41181,outdoor,pm10,-81.2643787702673,-52.62048615989883,-28.008840667068522,-15.786086620760676,-92.5879865688347,-145.2252826580166,-70.23599897083199
41181,outdoor,pm1num,45.74757565632316,39.055672007674,54.485516315130795,24.809691413604003,51.15763139883411,51.75479504753831,62.23889358858661
41181,outdoor,pm25,25.570950702104764,13.235831809872032,-8.378699705900736,-30.040650406504064,32.22991272946133,34.94028852584314,57.209426982312294
41181,ratio,pm1,72.67655183984414,81.89090278027429,85.5261958190107,82.47063216398699,79.5697186373987,77.92425521642288,53.76605031114888
41181,ratio,pm10,50.76521029677517,85.96221953210092,94.57782944375086,91.83867965732206,75.4262584118775,40.239040670728116,32.15544818083467
41181,ratio,pm1num,-19.26198088336677,49.67043895420489,5.480789590752546,36.48047124237515,59.36889220408309,-31.295004470369953,-443.8237052866074
41181,ratio,pm25,63.295057039556234,82.43463028029193,92.36603367465304,84.09524805178168,78.37855412892667,51.233494007723316,38.08829769926053
41211,indoor,pm1,82.37963688167866,83.21174798673614,82.73001508295626,80.91563404318468,84.33498641114006,81.35305735395447,80.72116903008688
41211,indoor,pm10,75.1138086206175,80.38734896943853,87.52526093055323,83.46725419042681,78.07866450074309,71.29711397770711,63.560521584328136
41211,indoor,pm1num,73.92500531351992,78.00959191093719,83.625322997416,74.25931218443365,76.67571673172561,71.13440114450874,69.31962604013138
41211,indoor,pm25,82.2555433076773,82.55394059763475,86.00959342165372,83.40372103641137,84.07298734641482,80.84361407521286,80.43753851651947
41271,indoor,pm1,62.33336506694102,66.3670766319773,67.49805694905673,67.72590094088407,56.65829145728643,58.57220762480791,64.47240426914176
41271,indoor,pm10,20.975621760291567,44.91648511256355,51.63634434837956,52.82436602710318,29.325325091842096,8.83291126911463,-26.227492411221142
41271,indoor,pm1num,63.297388032505935,64.90396403759705,63.68377658044601,65.28852531505638,58.74157594608605,64.94240390019208,67.77023349375388
41271,indoor,pm25,60.372904194715986,61.09682947729221,58.724428399518644,62.83783783783784,55.16989700754196,61.32919668726448,67.56437258373963
41271,outdoor,pm1,-19.899827002534437,2.1268368136117446,-13.06011331027886,-16.298145506419413,-21.175799086758005,-42.66986007815454,-45.14700925483984
41271,outdoor,pm10,48.910163259305335,-24.782356355194416,-67.27427115765637,-44.0850397808791,15.327820437093912,49.744779319826364,97.650040509327
41271,outdoor,pm1num,40.47400958050172,34.96126521723608,53.634076750350324,42.54190762998692,42.24957140748645,34.913453918556286,35.812161043078916
41271,outdoor,pm25,-2.7069772389317377,0.893371757925076,-24.52975047984643,-6.292645943896886,-5.083472006012127,-10.437241379310326,74.00448932918937
41271,ratio,pm1,77.08680482595425,63.74941502755526,66.43536661312028,64.1000256092295,66.19376192275594,85.78926786141002,90.91813907065068
41271,ratio,pm10,30.894797940856392,55.51394590133652,42.14535960779632,52.36217105694407,47.8160945703304,-11.384071325105632,26.58555623355884
