participant_id,environment,p_type,mean,median,q5,q25,q75,q95,sd
41271,indoor,concent,30.323408860161155,15.356489945155394,19.01764778477106,33.800448430493276,19.761953621998767,31.61501075611505,48.18814218272588
41271,outdoor,concent,-55.765597416755654,-55.486194477791116,-117.1264822134387,-70.96014492753623,-52.80214424951267,-52.74877906716251,-25.70060280597319
41271,ratio,concent,60.9307890887884,45.09533156405738,45.680359949118625,46.2265597889233,54.48575772091196,72.59730791758945,78.48864468487433
42281,indoor,concent,69.71078266513439,59.22098569157393,81.14985163204749,70.71373157486424,73.65544233753964,71.11824430947814,65.77235308025958
42281,outdoor,concent,-12.050728958894224,-6.355994691048518,-7.411464037970062,-9.080615942028986,-15.544871794871796,-19.371502710275276,-14.252450359967686
42281,ratio,concent,81.0893335443386,72.09195242250271,57.2990835641334,48.50251849137038,84.91072287969301,73.87131298411197,89.8714888363478
44621,indoor,concent,27.087014082609834,-142.45268262161738,-283.2740213523132,-205.9325319891431,-59.456971928209846,62.268884459413016,45.8081594261858
44621,outdoor,concent,3.9132509955092813,-6.9118147769833165,-66.83512318382817,-28.249336870026525,11.492587225504403,11.204311125044983,28.224391206359346
44621,ratio,concent,37.21097138856433,-134.06473147981458,-112.6362754458462,-134.1308657418225,-132.05498236244546,75.98264013036739,58.293919927448826
45361,indoor,concent,-26.1375420997252,56.87573042462018,74.67156378019493,57.40853658536585,-2.04778156996587,-109.3503728777702,-34.69225652390435
45361,outdoor,concent,5.741335461521834,40.37143708411958,33.48902382064456,34.91794001131862,43.95570548547961,-60.263250084906545,-62.77304168823997
45361,ratio,concent,-98.94592775039301,28.844187514347695,56.90918823916338,44.7472470072026,-44.60079985703612,-248.5039135449672,-133.32034416762042
45451,indoor,concent,50.70535183575693,51.39702105803801,34.95227400336889,41.20492524186456,59.305064782096586,62.92035398230089,24.866305331036855
45451,outdoor,concent,-3.0177502424389684,-14.91196550485088,-147.65364819860733,-23.605150214592275,5.279915096842664,7.408912366246783,11.384251333932323
45451,ratio,concent,73.46269685085105,56.92935460738227,56.63019611797098,52.98285114902197,60.677665254600676,71.73185736308055,85.11225325901985
57311,indoor,concent,8.333186907178098,41.23446206600943,46.29052940098919,42.087026591458496,19.977678571428573,-1.173818407960199,-52.406171602574155
57311,outdoor,concent,-20.844361718683004,-3.2756866734486265,-6.25,-4.551584625758597,-15.902544407105136,-56.295525494276696,-25.92691131333815
57311,ratio,concent,4.607589409986439,51.982862500509,53.213094560105624,55.923271166357054,33.127029517165575,-61.52099786250806,-72.49007690256697
57331,indoor,concent,16.19413625521381,-21.841332027424095,32.8337639965547,-11.141804788213628,-88.81123206333498,59.844289105131445,27.7837285879561
57331,outdoor,concent,-20.075243215603084,-1.0816742436118514,-21.453068592057935,7.081403044341496,-8.172730083479337,-78.2596592807037,-60.00463077441373
57331,ratio,concent,35.79428623833845,-47.133682277609125,0.4898533446038383,-29.471598859833353,-0.0728717351862328,63.28318131950072,35.28445164998631
57341,indoor,concent,67.29007767529335,4.2185616713539575,-172.8544776119403,-58.045409674234946,44.70899470899471,84.48335697511042,81.38443801099528
57341,outdoor,concent,40.931122373295736,17.302430387896347,-162.46376811594203,-24.078408425980104,51.23132490559843,72.0387053720387,78.16183642044982
57341,ratio,concent,33.22778714608597,-40.39331140061518,-339.5977448096781,-144.41516499004265,43.34139976036695,52.34840411386655,61.25035651678535
211002,indoor,concent,59.001964647710864,-17.105263157894736,42.6,9.661229611041405,28.818897637795274,74.67018469656992,56.11384640708015
211002,outdoor,concent,51.618176246510615,57.00854700854701,56.53104925053533,56.11601513240858,62.617801047120416,50.659630606860155,-72.24483898240362
211002,ratio,concent,24.688620973407524,-149.30966703442667,-7.873244967291929,-68.7959191228705,-194.52057951547877,53.61103929515533,44.3226530447114
221001,indoor,concent,-5.468708318579182,6.782202966172305,45.7164809834806,17.473524962178516,7.024702733535167,-1.7502686997296248,-12.985299680035071
221001,outdoor,concent,-37.322525775263536,-49.637667965478315,1.4600560112465428,-55.783627143202125,-34.65836333986363,-35.95134782823211,-30.475303121070137
221001,ratio,concent,22.984684863687722,43.23609426868418,35.859710745598115,35.303221428863615,29.22273636455887,24.631112827613947,11.760366821594136
250001,indoor,concent,39.515665589972926,32.278233685033214,62.86851385390428,50.25710419485792,26.448947979863174,39.04548065036315,54.252566816521146
250001,outdoor,concent,30.191272963270215,25.487908358082308,26.88136707196845,31.706518178840486,28.703576812388654,33.29776715827639,36.20956395117573
250001,ratio,concent,13.183683961149148,14.429956436332475,45.216856677430336,37.58199811720813,0.3119800406480274,-9.107781684594135,11.435455414812141
261001,indoor,concent,-133.15241206233986,-129.8233539802707,-154.07055630936227,-117.87746585735964,-65.52746969306165,-272.5647834447394,-151.99129905160802
261001,outdoor,concent,-42.94087822387629,-18.89987498579384,-64.12811387900356,-43.29407294832827,-34.763782571715765,-88.93498463828381,-51.19746211706684
261001,ratio,concent,-57.04404670994589,-58.00029284275982,-39.82601514757396,-43.56120804956431,-66.4398154142017,-79.95263602953982,-52.81420045079693
270001,indoor,concent,-2.6578971650034227,-27.80373831775701,-170.0583149004625,-49.954627949183305,-43.71074520454931,28.950399989731718,32.77954422891595
270001,outdoor,concent,-84.48835263025799,-51.36698212407992,-162.61770244821093,-55.570221752903905,-74.26526961410683,-142.43815440279198,-147.28553319132527
270001,ratio,concent,45.82514820738824,14.139385680168262,5.511956328323365,7.965472295616479,27.074844267984187,79.80238408445612,48.61817223047278
272001,indoor,concent,54.902618302731405,-26.573426573426573,49.59349593495935,21.761658031088082,-44.505494505494504,84.72,54.05389009878416
272001,outdoor,concent,NA,NA,NA,NA,NA,NA,NA
272001,ratio,concent,NA,NA,NA,NA,NA,NA,NA
290001,indoor,concent,36.73896450964337,-19.594594594594593,63.88297872340426,18.27956989247312,-1.4317180616740088,72.75280898876404,14.911092942167802
290001,outdoor,concent,-65.07573843066676,-127.45901639344262,-169.5035460992908,-134.93975903614458,-81.16883116883118,4.134366925064599,31.94389258947298
290001,ratio,concent,NA,NA,NA,NA,NA,NA,NA
300001,indoor,concent,58.42798595870639,28.834355828220858,-8.948194662480377,11.25,49.55974842767296,69.28934010152284,58.452783841870115
300001,outdoor,concent,3.1492760264409045,-28.712871287128714,-151.42045454545453,-63.0114566284779,8.633093525179856,53.69774919614148,81.78929549136957
300001,ratio,concent,NA,NA,NA,NA,NA,NA,NA
all,indoor,concent,37.09419953052827,9.277978339350181,27.696629213483142,18.58839972047519,6.760287393860222,52.11114185151162,46.793164206156284
all,outdoor,concent,-5.370052707342305,6.024563671622495,-13.381369016984046,3.7344398340248963,2.389429543476541,-14.907033727298934,-37.15662432026977
all,ratio,concent,48.97741298844509,24.473010106693568,27.502304178034876,29.862423046550408,17.565335384790945,59.20911381128692,64.8121943312878
