participant_id,environment,p_type,mean,median,q5,q25,q75,q95,sd
221001,indoor,co,-48.27667839987338,-25.247313156316427,20.944536600118163,-2.5404796996686887,-18.35643987487772,-30.562359301867662,-618.087001809136
221001,indoor,no,-94.96041928328984,-5.174938220075663,23.985781765442965,6.354060719211964,-70.80981435804229,-107.7070055526346,-237.73000302695633
221001,indoor,no2,-37.59246282205347,-25.93779967940865,2.5048365746868893,-20.01474417439713,-34.50564128395453,-92.98354082478886,-197.03047850753134
221001,indoor,pm1,23.632877997668295,-48.16297691945361,96.33330936803509,-20.651355421686752,23.743183536997975,42.3373370257621,15.700309200851997
221001,indoor,pm10,7.692243359692262,-73.77516682826672,45.80296777592414,-81.66322657966577,0,-2.6695143715754117,25.402863727023355
221001,indoor,pm25,19.05640333524848,-56.45565247430695,53.94589760786944,-40.1603498542274,18.74761608962413,29.918328753458123,16.544530543942447
221001,outdoor,co,-7.151759658519511,-1.337488668557919,35.60231234930512,16.203988444754195,-32.686353168069544,-4.003813584467545,-71.3829547267249
221001,outdoor,no,-24.081327458996153,-41.664735438125895,23.73789241439355,-31.658482332778263,-50.58909926881444,12.41471477699992,-5.969145395471317
221001,outdoor,no2,9.521317599454061,-0.8612487056782183,21.25665034387143,9.24484073744667,-26.67884687800729,21.88254443945814,32.20282872214266
221001,outdoor,pm1,20.757845157268406,15.048424802404549,44.855176960158204,46.83508626188605,11.968751423495652,21.331785921528407,13.512587340918236
221001,outdoor,pm10,-60.89686226789422,2.3331508695103027,-37.72183911426093,-18.424505426744744,-6.36563712803097,-72.47671125002279,-265.52744233268174
221001,outdoor,pm25,-3.449510744399388,6.795435048223154,-39.115590551181114,13.93441841395159,26.419020953076593,-67.53447219409588,-46.91009225351957
221001,ratio,co,-39.22285221681584,2.5333210667093935,13.981103255801449,8.123827239970367,-7.776382001874941,-46.29812603663953,-1066.493995949641
221001,ratio,no,-40.935937941374185,25.874585814362533,28.852225985389765,20.492351935183525,1.8631254712835494,-413.1742341709196,-107.07275168157655
221001,ratio,no2,-43.013435446285435,-33.41750846777279,18.347583724055863,-8.084810883035505,-25.115320921566152,-87.99645208409636,-155.61503155887118
221001,ratio,pm1,-70.85499890685622,6.384753072777185,94.81437223058154,29.122516277822015,-27.67663809630414,6.516018200880936,-399.44983600097686
221001,ratio,pm10,-10.757891078790019,20.484297953256437,67.06857911918314,37.115523588525555,-54.959420837990805,-28.711954054018296,-7.196858677751776
221001,ratio,pm25,-38.19339716301292,23.1442304569254,66.7173343458164,32.996220424623694,-24.778261235062953,-75.14828703858231,-144.62864999951623
250001,indoor,co,21.43725198357614,-2.740622611602795,9.265365069203598,-3.0853551013639664,9.129998204667636,31.931477599640633,79.51503445133008
250001,indoor,no,-105.79914032414852,-17.44167190318854,-35.106234243995765,5.941785514291505,-207.7880208888416,-354.5255474452556,-114.62638349763162
250001,indoor,no2,18.195330800292624,24.770797245342003,70.17247357914697,31.903295137890964,4.998440505276286,-1.878403696620817,-54.661329650318635
250001,indoor,pm1,59.60982094422707,65.81347855684139,100,95.76059850374065,62.18055648228465,36.63002457949326,26.901298688915066
250001,indoor,pm10,37.104953357279655,41.42887172210836,94.05094180130465,65.80424094949595,28.89167384663585,26.335788434927853,34.857580486757044
250001,indoor,pm25,43.01563090986127,48.30499411827612,94.13550858037623,76.38245288847698,38.854011491806766,26.411161174746194,12.267924502525446
250001,outdoor,co,8.653821152142504,13.831591451480758,28.718468421566353,14.28809682539612,8.232363102150067,8.832728526574886,-29.936147556656664
250001,outdoor,no,-12.733091476518183,-20.761943718798513,-21.50772942206288,-26.001539791452803,-8.218957486869476,-8.992804660997265,21.229775291638596
250001,outdoor,no2,31.10008940421016,33.24524940617577,37.605803708295014,28.115187844454685,35.947282195307466,23.22860119480981,15.906535514999895
250001,outdoor,pm1,22.067607479144993,39.89073908704102,69.91181079406728,50.36973577419064,25.760737848391013,-15.752445325447507,-30.877289540968487
250001,outdoor,pm10,-42.51824484379626,-18.360144550937285,32.45704110016376,12.849667085026272,-29.502847197838268,-52.55863628924283,-74.21466848094003
250001,outdoor,pm25,-36.01672087025525,-4.850698035160294,34.34480050609716,24.551122914381395,-16.081994928148763,-81.93061480417585,-189.39739996435586
250001,ratio,co,-13.924270963858001,-18.477969700117182,11.337931311800862,2.542301606969756,-38.74959027064043,-45.835221350789574,42.31486035148369
250001,ratio,no,-192.88576660255728,36.302767352937884,19.136411828108553,34.54760314415464,-14.07930334942024,-634.3959347897865,-1014.5421004585263
250001,ratio,no2,-45.052907337557045,-29.22363508723099,10.86939770679772,-14.942912267336249,-43.44835552151942,-91.54950311606278,-123.47121384679308
250001,ratio,pm1,44.83559323339283,74.15679652627631,100,92.31315942185257,47.72099937364093,18.328884144424702,-163.28693344288186
250001,ratio,pm10,6.106900264715714,59.941976292640845,82.33548014351095,67.13312028803837,48.61731915791803,1.4733668822552402,-293.2008111349107
250001,ratio,pm25,50.07769880636427,70.99298521833629,89.92758284321852,79.86859670481448,50.55403834456401,38.77850576341592,-88.58680243780726
261001,indoor,co,-48.06571513823086,11.293067455557097,19.79851508167605,7.1318370223093694,6.5340346743994635,-217.9497819843782,-164.8705353734092
261001,indoor,no,-128.03660573109207,26.08043568788715,3.7098785387706097,15.198847958963775,28.056503033004514,-529.2331609569264,-393.1493850776743
261001,indoor,no2,-15.471277735368963,9.269912231682063,-12.528105191684517,5.999667470280144,-6.410101040704083,-53.1166721500247,-92.27049840765524
