participant_id,case,environment,p_type,mean,median,q5,q25,q75,q95,sd
57301,off,indoor,co,889.8883107784432,802.0005000000001,545.24365,659.87025,926.3375000000001,1704.3350499999974,400.0729493487071
57301,off,indoor,no,8.916189820359282,3.6075,2.01695,2.952,6.152,25.35059999999996,20.297374013595586
57301,off,indoor,no2,9.936916666666667,7.9585,4.918,6.224749999999999,10.427,27.716199999999997,7.473743181937516
57301,off,indoor,pm1,3.0106615768463074,2.038,0.708,1.195,4.0405,7.50769999999999,2.863560207246516
57301,off,indoor,pm10,6.003125349301397,3.551,0.92895,1.96175,6.94625,19.09464999999999,7.363710313249629
57301,off,indoor,pm1num,3.0844111776447107,2.338,0.83595,1.399,3.94825,8.047249999999995,2.5140493208801526
57301,off,indoor,pm25,3.347269760479042,2.278,0.817,1.432,4.4445,8.836299999999996,3.036138442259619
57301,off,outdoor,co,571.6335110378584,529.587,457.5265,497.491,613.0485000000001,746.965,206.44353730765673
57301,off,outdoor,no,2.1465466986315054,2.032,1.484,1.718,2.52,2.888,2.452401002734591
57301,off,outdoor,no2,12.385224952552193,10.655,4.330500000000001,7.5255,17.201,24.454500000000003,6.392333105198201
57301,off,outdoor,pm1,5.015282389371691,2.862,0.8,1.691,5.9495000000000005,11.549,8.665793456599118
57301,off,outdoor,pm10,30.18553311357507,12.624,1.4635,4.082,30.5885,134.368,45.415162043198386
57301,off,outdoor,pm1num,8.418542203576067,6.047,1.7265,3.5235000000000003,10.273000000000001,18.738,9.95907929059587
57301,off,outdoor,pm25,7.8504499051043855,5.42,0.9515,2.275,10.482,22.2715,10.221340230061031
57301,off,ratio,co,1.5840905243371082,1.3805244835312633,1.0558585016630322,1.1999157750794964,1.7032459255949695,3.005335641927619,0.6848097302801454
57301,off,ratio,no,4.704175500720072,1.8449048152295633,0.9526710922725963,1.3513628107010724,2.95400431004275,14.793571726155871,11.593932281211947
57301,off,ratio,no2,0.9737216026780265,0.7485126074227972,0.3402376676401947,0.5114409638291633,1.1532150861200106,2.360477087962938,0.7613582729744709
57301,off,ratio,pm1,0.7932916207318466,0.6666666666666666,0.3731713317485492,0.5312922559411478,0.8853217351442874,1.6817926800301866,0.47023349037828954
57301,off,ratio,pm10,0.6982799298584325,0.3576361008511321,0.03554482601635767,0.13446101465916527,0.6398959795267003,2.5731149069935464,1.42833530750484
57301,off,ratio,pm1num,0.44898468570006406,0.3752218672346468,0.2217904490377762,0.29862171038492324,0.48414486377569277,0.9116885320405999,0.31787967746552204
57301,off,ratio,pm25,0.6103792404612614,0.5545722713864306,0.1439699308748441,0.39900594874252454,0.7321806201881342,1.257530390023195,0.37583920568016516
57301,on,indoor,co,711.7461764765992,628.1845000000001,481.34925000000004,556.83575,751.6790000000001,1199.29225,290.1513608051513
57301,on,indoor,no,10.946448702227672,2.7375,2.163,2.35,3.47,46.645250000000004,32.109022939466875
57301,on,indoor,no2,8.41590118536685,8.281,3.50875,7.225,9.06975,10.325,5.149893480772753
57301,on,indoor,pm1,2.4175008174943797,1.29,0.511,0.901,2.072,3.87,7.913466646373094
57301,on,indoor,pm10,6.078785612098917,2.3175,0.6872499999999999,1.322,3.969,14.9,25.125688839567584
57301,on,indoor,pm1num,2.2034830369916207,1.3399999999999999,0.53425,0.9892500000000002,2.00175,3.7377499999999997,5.419749991874017
57301,on,indoor,pm25,2.6684871244635193,1.501,0.5832499999999999,1.0342500000000001,2.29675,4.21075,8.291504864327331
57301,on,outdoor,co,582.3993280040734,547.0435,506.927,526.18525,595.7862499999999,784.4874499999999,205.07714354187223
57301,on,outdoor,no,3.657473014256619,2.111,1.61,1.851,2.505,3.7917999999999883,7.950477634977941
57301,on,outdoor,no2,10.649012932790225,8.2335,3.2668999999999997,5.416,14.245,24.556,6.801742842778824
57301,on,outdoor,pm1,3.4607402240325866,3.025,0.8819500000000001,1.7157499999999999,4.91325,7.344,2.101478527576455
57301,on,outdoor,pm10,16.97517983706721,11.0975,1.7699000000000003,5.0585,23.172250000000002,51.49389999999999,17.2590458973057
57301,on,outdoor,pm1num,7.691947148676171,6.5385,2.1638500000000005,4.4385,10.260250000000001,15.853199999999996,4.56067540163877
57301,on,outdoor,pm25,4.391740529531568,4.0045,1.103,2.021,6.489,8.504049999999998,2.5644675346578696
57301,on,ratio,co,1.238549867558507,1.0955646317229537,0.8902546140361782,0.9987580602776336,1.2514051132472783,2.120826970671456,0.5111042719597865
57301,on,ratio,no,4.766567455892336,1.295731775885682,0.751244105783091,1.0955846676370695,1.658757452031068,16.802423382907737,15.736923998411491
57301,on,ratio,no2,1.122522223083316,0.9331363760483506,0.3119835736391522,0.49258562623426383,1.4702865919053307,2.4729759524434662,1.0125693189198737
57301,on,ratio,pm1,0.8011097567722066,0.47349207307388175,0.22820629492039451,0.3516357110721162,0.6270985687852835,1.2168369890329014,2.8627709360970712
57301,on,ratio,pm10,0.7727732713460657,0.24218721276102426,0.038298987012222306,0.1038681239175831,0.48877547257399034,1.9963413151443006,3.409215551266437
57301,on,ratio,pm1num,0.3521089386081297,0.20661834276241947,0.11124126740889877,0.17117567341213977,0.2551471767158042,0.5178737389686684,1.2360584518091435
57301,on,ratio,pm25,0.7337015194454148,0.4351284449121833,0.1825598148967017,0.3051924797901675,0.5821298242664784,1.1142342473040285,2.6096673311484246
57311,off,indoor,co,2179.986125,2221.685,1600.1792500000001,1756.931,2446.96675,2996.1023999999998,451.4104894162992
57311,off,indoor,no,6.535528870558376,5.1594999999999995,3.6740999999999997,4.654,5.9085,16.787,4.14999021236597
57311,off,indoor,no2,7.302860723350253,7.112,4.3561000000000005,5.926,8.651,10.731,1.9627817992778769
57311,off,indoor,pm1,1.6713696065989847,1.2685,0.356,0.625,2.5585,3.84345,1.2247808991177322
57311,off,indoor,pm10,3.479084390862944,2.4105,0.507,1.0615,3.975,11.400049999999998,4.012078956794649
57311,off,indoor,pm1num,1.9305453680203046,1.465,0.6225499999999999,0.912,2.23325,5.7670499999999985,1.73158165834453
57311,off,indoor,pm25,1.8987366751269035,1.4805000000000001,0.44420000000000004,0.748,2.8855,4.227049999999998,1.344209247805277
57311,off,outdoor,co,518.9946276876268,500.64099999999996,406.24775,443.33125,559.7735,670.7711499999998,121.91806869151569
57311,off,outdoor,no,2.7002169371196754,2.13,1.727,1.881,2.443,4.058049999999999,2.6988966077599907
57311,off,outdoor,no2,13.669728194726167,11.1975,5.12685,8.29525,18.316499999999998,28.886049999999997,7.2437014359028105
57311,off,outdoor,pm1,4.920951318458418,4.0815,0.463,1.662,7.601,11.49005,3.671335395110214
57311,off,outdoor,pm10,16.145937018255577,14.216999999999999,3.3058500000000004,9.11,20.810000000000002,34.354849999999985,10.593937975817536
57311,off,outdoor,pm1num,7.04748509127789,6.117,1.468,3.62975,8.8105,16.36805,4.878031842509643
57311,off,outdoor,pm25,5.840134279918864,5.009,1.0079,2.88275,8.36425,12.415149999999997,3.666172545475656
57311,off,ratio,co,4.718950933369167,4.981080831246121,1.7867498327546831,3.232041985644614,6.020526570477687,7.1622898982303,1.5850119834180767
57311,off,ratio,no,2.234487728084542,2.278059071729958,1.0793171829381216,1.747821350762527,2.6660403945514326,3.237885636166018,0.6596170736413758
57311,off,ratio,no2,0.7441392435855199,0.6931045145330859,0.29637080065381743,0.4604675947512156,0.8947689802564623,1.457374308201539,0.406937256492764
57311,off,ratio,pm1,1.0069574318669476,0.8126221725774924,0.36523488107631763,0.6728778467908904,1.0577223088923557,2.26275139203173,0.741537849041649
57311,off,ratio,pm10,0.5079692986410418,0.23937626998851486,0.0506138505640243,0.12273884496851133,0.4383408071748879,1.7548568801058477,1.1911005249829747
57311,off,ratio,pm1num,0.756525458313148,0.46463815789473684,0.2631136208111952,0.3757115749525617,0.600156087408949,2.6423527602739476,0.940734958442295
57311,off,ratio,pm25,0.6569119865812353,0.5651541593949971,0.2584697776762075,0.39891533594456163,0.7054136874361594,1.6433508866074211,0.43166765520089706
57311,on,indoor,co,951.6237852254428,866.707,746.11125,819.00425,987.6632500000001,1535.2385,235.8751473761015
57311,on,indoor,no,4.692555555555556,4.5440000000000005,2.096,3.296,5.833,7.919499999999999,1.8687203148226956
57311,on,indoor,no2,9.691955817230273,8.364,4.749,6.53925,11.22325,19.912750000000003,4.586999741074814
57311,on,indoor,pm1,1.6622509057971016,1.005,0.155,0.441,1.705,4.6705,2.8155385399249826
57311,on,indoor,pm10,5.433484198872786,1.807,0.275,0.785,5.50675,22.5775,9.790449793769437
57311,on,indoor,pm1num,2.2275824275362317,1.2225000000000001,0.263,0.5650000000000001,2.13025,6.72725,3.9916811433184
57311,on,indoor,pm25,1.930849537037037,1.156,0.223,0.524,1.952,5.14525,3.412497698332277
57311,on,outdoor,co,539.851211325689,516.3875,464.55035,483.24575000000004,559.6052500000001,707.0869499999993,92.89778511918352
57311,on,outdoor,no,2.279376584188292,2.283,1.562,1.982,2.342,2.7559999999999785,1.7878839195469458
57311,on,outdoor,no2,12.48490424461879,9.4915,5.29615,8.0235,16.161,27.727,6.8574649135686405
